Time (ms),AVG
12.1375,-0.022298411
12.15,-0.022245845
12.1625,-0.022366889
12.175,-0.0224621
12.1875,-0.022265429
12.2,-0.022226198
12.2125,-0.022061929
12.225,-0.022215955
12.2375,-0.022029849
12.25,-0.022042024
12.2625,-0.021853147
12.275,-0.021896566
12.2875,-0.021698348
12.3,-0.021687784
12.3125,-0.021584327
12.325,-0.02172592
12.3375,-0.021487698
12.35,-0.021588192
12.3625,-0.021359247
12.375,-0.021632512
12.3875,-0.021650099
12.4,-0.021747951
12.4125,-0.021501935
12.425,-0.02150799
12.4375,-0.021192595
12.45,-0.021101829
12.4625,-0.021052033
12.475,-0.02123582
12.4875,-0.021359247
12.5,-0.021375158
12.5125,-0.021395837
12.525,-0.021372646
12.5375,-0.021364529
12.55,-0.021332513
12.5625,-0.02158233
12.575,-0.021524224
12.5875,-0.021491435
12.6,-0.021345783
12.6125,-0.021523386
12.625,-0.021195043
12.6375,-0.021247544
12.65,-0.020993476
12.6625,-0.021160836
12.675,-0.021029615
12.6875,-0.021449498
12.7,-0.021515721
12.7125,-0.021884584
12.725,-0.021865194
12.7375,-0.021984111
12.75,-0.021989522
12.7625,-0.022126284
12.775,-0.021799357
12.7875,-0.021797747
12.8,-0.021698606
12.8125,-0.021848574
12.825,-0.021903909
12.8375,-0.022137171
12.85,-0.021968973
12.8625,-0.021877111
12.875,-0.021893409
12.8875,-0.022029204
12.9,-0.022111403
12.9125,-0.02213002
12.925,-0.022330814
12.9375,-0.02244709
12.95,-0.022613742
12.9625,-0.02273266
12.975,-0.022959286
12.9875,-0.02276313
13,-0.022810156
13.0125,-0.022689306
13.025,-0.022706957
13.0375,-0.022550096
13.05,-0.022718681
13.0625,-0.022697938
13.075,-0.022638737
13.0875,-0.022569615
13.1,-0.022663216
13.1125,-0.02263455
13.125,-0.022736267
13.1375,-0.022493859
13.15,-0.02250758
13.1625,-0.022309749
13.175,-0.022317157
13.1875,-0.02224314
13.2,-0.022269358
13.2125,-0.022235087
13.225,-0.022205261
13.2375,-0.022212348
13.25,-0.022232511
13.2625,-0.022256539
13.275,-0.022221495
13.2875,-0.022149797
13.3,-0.022060319
13.3125,-0.02207623
13.325,-0.022040027
13.3375,-0.02208177
13.35,-0.021863003
13.3625,-0.022030557
13.375,-0.021996866
13.3875,-0.022100452
13.4,-0.022061285
13.4125,-0.022010201
13.425,-0.021890961
13.4375,-0.02185289
13.45,-0.02188613
13.4625,-0.021873375
13.475,-0.021870025
13.4875,-0.022029462
13.5,-0.022106378
13.5125,-0.022238051
13.525,-0.022132726
13.5375,-0.022246168
13.55,-0.022286494
13.5625,-0.022365021
13.575,-0.02221763
13.5875,-0.022231867
13.6,-0.022116685
13.6125,-0.022156174
13.625,-0.022284432
13.6375,-0.022535344
13.65,-0.022569164
13.6625,-0.022743224
13.675,-0.022805711
13.6875,-0.022942601
13.7,-0.023024478
13.7125,-0.023118207
13.725,-0.023244018
13.7375,-0.023278417
13.75,-0.023345929
13.7625,-0.023630532
13.775,-0.023848203
13.7875,-0.024058596
13.8,-0.024412256
13.8125,-0.024810301
13.825,-0.025223742
13.8375,-0.025547834
13.85,-0.026152535
13.8625,-0.026737717
13.875,-0.027535804
13.8875,-0.028084138
13.9,-0.028739086
13.9125,-0.029351517
13.925,-0.030167384
13.9375,-0.03064241
13.95,-0.031423554
13.9625,-0.032063814
13.975,-0.033038152
13.9875,-0.033698446
14,-0.03463819
14.0125,-0.035389573
14.025,-0.036195068
14.0375,-0.036960817
14.05,-0.03765229
14.0625,-0.038222978
14.075,-0.038691175
14.0875,-0.039028731
14.1,-0.039341292
14.1125,-0.039611916
14.125,-0.039775025
14.1375,-0.039810906
14.15,-0.039844017
14.1625,-0.039819731
14.175,-0.039799762
14.1875,-0.03979886
14.2,-0.039770064
14.2125,-0.039650374
14.225,-0.039601093
14.2375,-0.03951329
14.25,-0.039229654
14.2625,-0.039068477
14.275,-0.038694912
14.2875,-0.038486194
14.3,-0.037914862
14.3125,-0.037752784
14.325,-0.037209925
14.3375,-0.036987358
14.35,-0.036405074
14.3625,-0.0362725
14.375,-0.035787876
14.3875,-0.035675594
14.4,-0.035228526
14.4125,-0.035056398
14.425,-0.034508708
14.4375,-0.034237633
14.45,-0.033733039
14.4625,-0.033438902
14.475,-0.032973024
14.4875,-0.032804826
14.5,-0.032646355
14.5125,-0.032297913
14.525,-0.031953594
14.5375,-0.031588789
14.55,-0.031101008
14.5625,-0.030823427
14.575,-0.030581534
14.5875,-0.03041675
14.6,-0.030192185
14.6125,-0.029870863
14.625,-0.029691714
14.6375,-0.029399832
14.65,-0.029435713
14.6625,-0.029165991
14.675,-0.029265454
14.6875,-0.028884351
14.7,-0.028954568
14.7125,-0.028678081
14.725,-0.028703205
14.7375,-0.028433805
14.75,-0.028311988
14.7625,-0.027931787
14.775,-0.028023584
14.7875,-0.027846239
14.8,-0.027915232
14.8125,-0.02791098
14.825,-0.028196099
14.8375,-0.028053539
14.85,-0.028061527
14.8625,-0.027923413
14.875,-0.027792836
14.8875,-0.02756621
14.9,-0.027379846
14.9125,-0.027363741
14.925,-0.027100782
14.9375,-0.027196058
14.95,-0.027149999
14.9625,-0.027159984
14.975,-0.026804906
14.9875,-0.0268366
15,-0.026697971
15.0125,-0.026598636
15.025,-0.02626398
15.0375,-0.02661545
15.05,-0.026463485
15.0625,-0.026730502
15.075,-0.026554252
15.0875,-0.026812121
15.1,-0.026604305
15.1125,-0.026681673
15.125,-0.026414656
15.1375,-0.026423095
15.15,-0.026205359
15.1625,-0.026408987
15.175,-0.026194278
15.1875,-0.026304435
15.2,-0.026091788
15.2125,-0.026186097
15.225,-0.025917148
15.2375,-0.025974803
15.25,-0.025950775
15.2625,-0.025995546
