Time (ms),Iteration 1,Iteration 2,AVG
31.175,0.012400816,0.011930557,0.012165686
31.1875,0.012887179,0.012793772,0.012840475
31.2,0.013090099,0.01214475,0.012617424
31.2125,0.013491107,0.012297745,0.012894426
31.225,0.013642492,0.011693817,0.012668154
31.2375,0.013745562,0.011151087,0.012448325
31.25,0.013407362,0.010300756,0.011854059
31.2625,0.013133582,0.010645398,0.01188949
31.275,0.012370216,0.011102773,0.011736495
31.2875,0.011994976,0.012468456,0.012231716
31.3,0.011996586,0.013491107,0.012743847
31.3125,0.01204168,0.014182001,0.01311184
31.325,0.012577968,0.014465444,0.013521706
31.3375,0.013020848,0.014057994,0.013539421
31.35,0.012647218,0.013578073,0.013112646
31.3625,0.012115761,0.013120698,0.01261823
31.375,0.011946662,0.013481444,0.012714053
31.3875,0.012059395,0.013410583,0.012734989
31.4,0.012201117,0.013605451,0.012903284
31.4125,0.012399205,0.013123919,0.012761562
31.425,0.012553811,0.013241484,0.012897647
31.4375,0.012300966,0.013510433,0.012905699
31.45,0.01275673,0.013455677,0.013106204
31.4625,0.013019238,0.013125529,0.013072384
31.475,0.01302568,0.013065942,0.013045811
31.4875,0.012436246,0.012511938,0.012474092
31.5,0.012874295,0.012283251,0.012578773
31.5125,0.013019238,0.011555316,0.012287277
31.525,0.013254367,0.012035238,0.012644802
31.5375,0.013265641,0.012342839,0.01280424
31.55,0.013521706,0.012756731,0.013139218
31.5625,0.013272082,0.013627998,0.01345004
31.575,0.013014406,0.015112855,0.014063631
31.5875,0.012875906,0.01424481,0.013560358
31.6,0.012914557,0.013599009,0.013256783
31.6125,0.01207711,0.012969313,0.012523212
31.625,0.011608462,0.012681038,0.01214475
31.6375,0.012073889,0.011920894,0.011997392
31.65,0.012259094,0.011880632,0.012069863
31.6625,0.012693922,0.012051342,0.012372632
31.675,0.012499055,0.011999807,0.012249431
31.6875,0.012218832,0.012104488,0.01216166
31.7,0.012595683,0.011687375,0.012141529
31.7125,0.012167297,0.011265431,0.011716364
31.725,0.012379879,0.010864422,0.011622151
31.7375,0.012376658,0.010632514,0.011504586
31.75,0.011521496,0.010804835,0.011163166
31.7625,0.011220337,0.010476298,0.010848318
31.775,0.010635735,0.010630904,0.010633319
31.7875,0.01112693,0.011481234,0.011304082
